,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,Religion donor status,Non-religion donors,2018,rg_010,0.695846574,1.351575039,0.677413331,0.714279817,6210,Touché.e personnellement par la cause,Religion donors motivations for giving,CA,
1,Religion donor status,Religion donors,2018,rg_010,0.705458807,1.757816289,0.681153941,0.729763673,4001,Touché.e personnellement par la cause,Religion donors motivations for giving,CA,
2,Religion donor status,Non-religion donors,2018,rg_020,0.245311489,3.258736282,0.229643431,0.260979548,6120,Crédit d'impôt,Religion donors motivations for giving,CA,
3,Religion donor status,Religion donors,2018,rg_020,0.357520361,3.481620471,0.333123706,0.381917017,3949,Crédit d'impôt,Religion donors motivations for giving,CA,
4,Religion donor status,Non-religion donors,2018,rg_030,0.069648232,7.117937541,0.059931676,0.079364788,6059,Raisons religieuses,Religion donors motivations for giving,CA,
5,Religion donor status,Religion donors,2018,rg_030,0.699779633,1.687480713,0.676635111,0.722924154,3994,Raisons religieuses,Religion donors motivations for giving,CA,
6,Religion donor status,Non-religion donors,2018,rg_035,0.146141232,4.938220509,0.131996611,0.160285854,6072,Croyances spirituelles,Religion donors motivations for giving,CA,
7,Religion donor status,Religion donors,2018,rg_035,0.567181627,2.201546775,0.54270801,0.591655244,3910,Croyances spirituelles,Religion donors motivations for giving,CA,
8,Religion donor status,Non-religion donors,2018,rg_040,0.836075428,0.933610863,0.820776554,0.851374301,6192,Croyance personnelle en la cause,Religion donors motivations for giving,CA,
9,Religion donor status,Religion donors,2018,rg_040,0.86261567,1.133555859,0.843450691,0.88178065,3989,Croyance personnelle en la cause,Religion donors motivations for giving,CA,
10,Religion donor status,Non-religion donors,2018,rg_050,0.82652011,0.887817555,0.812137913,0.840902307,6165,Compassion envers les personnes dans le besoin,Religion donors motivations for giving,CA,
11,Religion donor status,Religion donors,2018,rg_050,0.878028922,0.956202961,0.861573577,0.894484267,3980,Compassion envers les personnes dans le besoin,Religion donors motivations for giving,CA,
12,Religion donor status,Non-religion donors,2018,rg_060,0.690908135,1.30990041,0.673170052,0.708646218,6120,Contribution à la communauté,Religion donors motivations for giving,CA,
13,Religion donor status,Religion donors,2018,rg_060,0.799020738,1.345796312,0.77794487,0.820096606,3949,Contribution à la communauté,Religion donors motivations for giving,CA,
14,Religion donor status,Non-religion donors,2018,rg_070,0.496424788,2.033166294,0.476642594,0.516206981,6118,Sollicitation par une connaissance,Religion donors motivations for giving,CA,
15,Religion donor status,Religion donors,2018,rg_070,0.472408109,2.668515437,0.447700248,0.49711597,3938,Sollicitation par une connaissance,Religion donors motivations for giving,CA,
16,Religion donor status,Non-religion donors,2018,rg_010,0.712766019,1.376294234,0.693539247,0.73199279,5445,Touché.e personnellement par la cause,Religion donors motivations for giving,CA (without QC),
17,Religion donor status,Religion donors,2018,rg_010,0.693726852,2.02545726,0.666187122,0.721266583,3495,Touché.e personnellement par la cause,Religion donors motivations for giving,CA (without QC),
18,Religion donor status,Non-religion donors,2018,rg_020,0.27068083,3.359331888,0.252858745,0.288502915,5366,Crédit d'impôt,Religion donors motivations for giving,CA (without QC),
19,Religion donor status,Religion donors,2018,rg_020,0.399997874,3.490186302,0.372635462,0.427360287,3457,Crédit d'impôt,Religion donors motivations for giving,CA (without QC),
20,Religion donor status,Non-religion donors,2018,rg_030,0.077696544,7.572189093,0.06616543,0.089227657,5315,Raisons religieuses,Religion donors motivations for giving,CA (without QC),
21,Religion donor status,Religion donors,2018,rg_030,0.753158649,1.571814805,0.729956087,0.77636121,3498,Raisons religieuses,Religion donors motivations for giving,CA (without QC),
22,Religion donor status,Non-religion donors,2018,rg_035,0.163328516,5.05878774,0.147134425,0.179522606,5329,Croyances spirituelles,Religion donors motivations for giving,CA (without QC),
23,Religion donor status,Religion donors,2018,rg_035,0.630056121,2.129053452,0.60376471,0.656347531,3428,Croyances spirituelles,Religion donors motivations for giving,CA (without QC),
24,Religion donor status,Non-religion donors,2018,rg_040,0.843865101,0.92698155,0.828533334,0.859196868,5427,Croyance personnelle en la cause,Religion donors motivations for giving,CA (without QC),
25,Religion donor status,Religion donors,2018,rg_040,0.872953167,1.190312569,0.852587434,0.8933189,3492,Croyance personnelle en la cause,Religion donors motivations for giving,CA (without QC),
26,Religion donor status,Non-religion donors,2018,rg_050,0.831067307,0.979024684,0.815120346,0.847014268,5404,Compassion envers les personnes dans le besoin,Religion donors motivations for giving,CA (without QC),
27,Religion donor status,Religion donors,2018,rg_050,0.885068875,0.96226026,0.868376516,0.901761233,3486,Compassion envers les personnes dans le besoin,Religion donors motivations for giving,CA (without QC),
28,Religion donor status,Non-religion donors,2018,rg_060,0.70449128,1.342458194,0.685954919,0.723027642,5367,Contribution à la communauté,Religion donors motivations for giving,CA (without QC),
29,Religion donor status,Religion donors,2018,rg_060,0.804561514,1.476579731,0.781277157,0.827845871,3454,Contribution à la communauté,Religion donors motivations for giving,CA (without QC),
30,Religion donor status,Non-religion donors,2018,rg_070,0.530971856,2.053292038,0.509603539,0.552340173,5365,Sollicitation par une connaissance,Religion donors motivations for giving,CA (without QC),
31,Religion donor status,Religion donors,2018,rg_070,0.492546473,2.755957906,0.46594119,0.519151756,3443,Sollicitation par une connaissance,Religion donors motivations for giving,CA (without QC),
32,Religion donor status,Non-religion donors,2018,rg_010,0.681466529,4.377878597,0.6229934,0.739939658,559,Touché.e personnellement par la cause,Religion donors motivations for giving,AB,
33,Religion donor status,Religion donors,2018,rg_010,0.676255662,5.61300701,0.601858804,0.750652519,310,Touché.e personnellement par la cause,Religion donors motivations for giving,AB,
34,Religion donor status,Non-religion donors,2018,rg_010,0.714942389,2.76323977,0.676222178,0.753662599,1449,Touché.e personnellement par la cause,Religion donors motivations for giving,AT,
35,Religion donor status,Religion donors,2018,rg_010,0.753699743,2.17023089,0.721640564,0.785758922,1216,Touché.e personnellement par la cause,Religion donors motivations for giving,AT,
36,Religion donor status,Non-religion donors,2018,rg_010,0.683729886,3.097029936,0.642227023,0.725232749,906,Touché.e personnellement par la cause,Religion donors motivations for giving,BC,
37,Religion donor status,Religion donors,2018,rg_010,0.658359013,5.549546766,0.586749884,0.729968143,378,Touché.e personnellement par la cause,Religion donors motivations for giving,BC,
38,Religion donor status,Non-religion donors,2018,rg_010,0.731309366,1.936212479,0.703556858,0.759061874,1737,Touché.e personnellement par la cause,Religion donors motivations for giving,ON,
39,Religion donor status,Religion donors,2018,rg_010,0.691685419,3.142994634,0.649076516,0.734294321,1069,Touché.e personnellement par la cause,Religion donors motivations for giving,ON,
40,Religion donor status,Non-religion donors,2018,rg_010,0.719341034,3.048540437,0.676360195,0.762321873,794,Touché.e personnellement par la cause,Religion donors motivations for giving,PR,
41,Religion donor status,Religion donors,2018,rg_010,0.715443216,3.79907156,0.662171003,0.768715429,522,Touché.e personnellement par la cause,Religion donors motivations for giving,PR,
42,Religion donor status,Non-religion donors,2018,rg_010,0.637295734,3.780053607,0.590079966,0.684511502,765,Touché.e personnellement par la cause,Religion donors motivations for giving,QC,
43,Religion donor status,Religion donors,2018,rg_010,0.744579776,3.347312436,0.695730787,0.793428765,506,Touché.e personnellement par la cause,Religion donors motivations for giving,QC,
44,Religion donor status,Non-religion donors,2018,rg_020,0.268367213,8.95837601,0.221247044,0.315487381,551,Crédit d'impôt,Religion donors motivations for giving,AB,
45,Religion donor status,Religion donors,2018,rg_020,0.394963081,9.255961244,0.323311443,0.466614718,307,Crédit d'impôt,Religion donors motivations for giving,AB,
46,Religion donor status,Non-religion donors,2018,rg_020,0.185961782,6.906682247,0.160788417,0.211135146,1431,Crédit d'impôt,Religion donors motivations for giving,AT,
47,Religion donor status,Religion donors,2018,rg_020,0.358052558,5.032617438,0.322735153,0.393369963,1206,Crédit d'impôt,Religion donors motivations for giving,AT,
48,Religion donor status,Non-religion donors,2018,rg_020,0.282110811,7.38766032,0.24126244,0.322959181,889,Crédit d'impôt,Religion donors motivations for giving,BC,
49,Religion donor status,Religion donors,2018,rg_020,0.454355795,7.756577698,0.385281842,0.523429748,374,Crédit d'impôt,Religion donors motivations for giving,BC,
50,Religion donor status,Non-religion donors,2018,rg_020,0.277579982,5.238106231,0.249082234,0.306077729,1711,Crédit d'impôt,Religion donors motivations for giving,ON,
51,Religion donor status,Religion donors,2018,rg_020,0.39373834,5.258394633,0.353158627,0.434318053,1047,Crédit d'impôt,Religion donors motivations for giving,ON,
52,Religion donor status,Non-religion donors,2018,rg_020,0.29704752,6.74642738,0.257769655,0.336325385,784,Crédit d'impôt,Religion donors motivations for giving,PR,
53,Religion donor status,Religion donors,2018,rg_020,0.415818392,6.5447568,0.36247934,0.469157445,523,Crédit d'impôt,Religion donors motivations for giving,PR,
54,Religion donor status,Non-religion donors,2018,rg_020,0.157696026,9.89715288,0.127106052,0.188286001,754,Crédit d'impôt,Religion donors motivations for giving,QC,
55,Religion donor status,Religion donors,2018,rg_020,0.212711954,11.24487268,0.165831206,0.259592702,492,Crédit d'impôt,Religion donors motivations for giving,QC,
56,Religion donor status,Non-religion donors,2018,rg_030,0.058405305,25.84320465,0.028821996,0.087988614,548,Raisons religieuses,Religion donors motivations for giving,AB,*
57,Religion donor status,Religion donors,2018,rg_030,0.785438516,3.553876731,0.730729029,0.840148004,312,Raisons religieuses,Religion donors motivations for giving,AB,
58,Religion donor status,Non-religion donors,2018,rg_030,0.071303845,12.12882898,0.054353446,0.088254243,1419,Raisons religieuses,Religion donors motivations for giving,AT,
59,Religion donor status,Religion donors,2018,rg_030,0.588322584,3.167194458,0.551801947,0.62484322,1211,Raisons religieuses,Religion donors motivations for giving,AT,
60,Religion donor status,Non-religion donors,2018,rg_030,0.05652173,16.98900737,0.037701214,0.075342247,874,Raisons religieuses,Religion donors motivations for giving,BC,*
61,Religion donor status,Religion donors,2018,rg_030,0.741718834,4.217311231,0.680410001,0.803027667,379,Raisons religieuses,Religion donors motivations for giving,BC,
62,Religion donor status,Non-religion donors,2018,rg_030,0.093618968,10.36926397,0.074592426,0.11264551,1696,Raisons religieuses,Religion donors motivations for giving,ON,
63,Religion donor status,Religion donors,2018,rg_030,0.770755734,2.455457032,0.733662287,0.807849181,1071,Raisons religieuses,Religion donors motivations for giving,ON,
64,Religion donor status,Non-religion donors,2018,rg_030,0.067935518,17.36747118,0.044810527,0.091060508,778,Raisons religieuses,Religion donors motivations for giving,PR,*
65,Religion donor status,Religion donors,2018,rg_030,0.790886149,2.780268366,0.747788977,0.833983322,525,Raisons religieuses,Religion donors motivations for giving,PR,
